REGION,COUNTY,STATUS,DEM,REP,CON,WOR,GRE,LBT,IND,SAM,OTH,BLANK,TOTAL
Outside NYC,Albany ,Active,"94,240","34,375","3,020",586,517,231,"9,339",6,170,"42,205","184,689"
Outside NYC,Albany ,Inactive,"11,861","3,466",304,131,116,53,"1,247",0,23,"6,021","23,222"
Outside NYC,Albany ,Total,"106,101","37,841","3,324",717,633,284,"10,586",6,193,"48,226","207,911"
Outside NYC,Allegany ,Active,"5,667","12,599",447,136,94,47,"1,256",0,13,"4,910","25,169"
Outside NYC,Allegany ,Inactive,300,403,14,6,7,1,59,0,2,331,"1,123"
Outside NYC,Allegany ,Total,"5,967","13,002",461,142,101,48,"1,315",0,15,"5,241","26,292"
Outside NYC,Broome ,Active,"43,797","41,038","1,595",629,362,233,"5,983",3,93,"23,201","116,934"
Outside NYC,Broome ,Inactive,"5,496","3,682",148,127,66,23,847,0,25,"3,914","14,328"
Outside NYC,Broome ,Total,"49,293","44,720","1,743",756,428,256,"6,830",3,118,"27,115","131,262"
Outside NYC,Cattaraugus ,Active,"13,748","17,878","1,099",239,135,86,"2,311",1,36,"9,305","44,838"
Outside NYC,Cattaraugus ,Inactive,846,875,58,19,11,0,131,0,5,733,"2,678"
Outside NYC,Cattaraugus ,Total,"14,594","18,753","1,157",258,146,86,"2,442",1,41,"10,038","47,516"
Outside NYC,Cayuga ,Active,"14,765","16,617","1,264",204,161,67,"2,483",0,24,"10,098","45,683"
Outside NYC,Cayuga ,Inactive,738,752,52,19,13,0,191,0,5,753,"2,523"
Outside NYC,Cayuga ,Total,"15,503","17,369","1,316",223,174,67,"2,674",0,29,"10,851","48,206"
Outside NYC,Chautauqua ,Active,"24,791","26,304","1,918",438,165,176,"4,611",0,69,"18,315","76,787"
Outside NYC,Chautauqua ,Inactive,"1,650","1,259",103,34,31,12,325,0,9,"1,547","4,970"
Outside NYC,Chautauqua ,Total,"26,441","27,563","2,021",472,196,188,"4,936",0,78,"19,862","81,757"
Outside NYC,Chemung ,Active,"15,157","20,182",821,243,122,105,"2,992",0,38,"10,335","49,995"
Outside NYC,Chemung ,Inactive,"1,177","1,086",30,23,16,2,245,0,7,985,"3,571"
Outside NYC,Chemung ,Total,"16,334","21,268",851,266,138,107,"3,237",0,45,"11,320","53,566"
Outside NYC,Chenango ,Active,"7,054","12,378",500,154,108,66,"1,604",0,11,"6,334","28,209"
Outside NYC,Chenango ,Inactive,418,592,31,15,13,1,113,0,4,518,"1,705"
Outside NYC,Chenango ,Total,"7,472","12,970",531,169,121,67,"1,717",0,15,"6,852","29,914"
Outside NYC,Clinton ,Active,"17,187","14,408",500,239,103,19,"3,282",1,23,"10,861","46,623"
Outside NYC,Clinton ,Inactive,"1,023",656,32,15,16,0,210,0,3,831,"2,786"
Outside NYC,Clinton ,Total,"18,210","15,064",532,254,119,19,"3,492",1,26,"11,692","49,409"
Outside NYC,Columbia ,Active,"17,156","12,241","1,085",234,184,59,"2,790",0,31,"11,415","45,195"
Outside NYC,Columbia ,Inactive,746,419,29,12,6,2,171,0,0,548,"1,933"
Outside NYC,Columbia ,Total,"17,902","12,660","1,114",246,190,61,"2,961",0,31,"11,963","47,128"
Outside NYC,Cortland ,Active,"9,089","9,894",471,123,88,51,"1,546",0,13,"6,698","27,973"
Outside NYC,Cortland ,Inactive,817,741,30,17,19,0,149,0,4,925,"2,702"
Outside NYC,Cortland ,Total,"9,906","10,635",501,140,107,51,"1,695",0,17,"7,623","30,675"
Outside NYC,Delaware ,Active,"7,709","11,678",488,103,98,45,"1,538",0,9,"5,476","27,144"
Outside NYC,Delaware ,Inactive,775,895,43,19,15,3,212,0,3,759,"2,724"
Outside NYC,Delaware ,Total,"8,484","12,573",531,122,113,48,"1,750",0,12,"6,235","29,868"
Outside NYC,Dutchess ,Active,"67,234","52,432","3,653",723,469,265,"10,318",4,141,"48,531","183,770"
Outside NYC,Dutchess ,Inactive,"5,181","3,031",188,81,59,15,760,0,16,"3,607","12,938"
Outside NYC,Dutchess ,Total,"72,415","55,463","3,841",804,528,280,"11,078",4,157,"52,138","196,708"
Outside NYC,Erie ,Active,"283,792","150,571","13,347","2,788","1,647",820,"28,437",0,369,"113,391","595,162"
Outside NYC,Erie ,Inactive,"20,100","8,395",650,226,172,56,"1,834",0,47,"9,447","40,927"
Outside NYC,Erie ,Total,"303,892","158,966","13,997","3,014","1,819",876,"30,271",0,416,"122,838","636,089"
Outside NYC,Essex ,Active,"7,084","10,544",229,64,83,30,"1,777",1,8,"4,643","24,463"
Outside NYC,Essex ,Inactive,488,554,12,4,10,3,121,0,1,401,"1,594"
Outside NYC,Essex ,Total,"7,572","11,098",241,68,93,33,"1,898",1,9,"5,044","26,057"
Outside NYC,Franklin ,Active,"9,796","8,595",313,94,75,37,"1,581",0,7,"4,853","25,351"
Outside NYC,Franklin ,Inactive,817,605,23,16,19,1,198,0,0,707,"2,386"
Outside NYC,Franklin ,Total,"10,613","9,200",336,110,94,38,"1,779",0,7,"5,560","27,737"
Outside NYC,Fulton ,Active,"7,237","15,357",573,155,81,58,"1,714",0,20,"5,894","31,089"
Outside NYC,Fulton ,Inactive,731,976,45,25,11,0,151,0,2,768,"2,709"
Outside NYC,Fulton ,Total,"7,968","16,333",618,180,92,58,"1,865",0,22,"6,662","33,798"
Outside NYC,Genesee ,Active,"8,787","15,943",936,171,107,131,"1,828",0,27,"8,243","36,173"
Outside NYC,Genesee ,Inactive,662,973,62,21,14,9,166,0,1,795,"2,703"
Outside NYC,Genesee ,Total,"9,449","16,916",998,192,121,140,"1,994",0,28,"9,038","38,876"
Outside NYC,Greene ,Active,"7,944","11,762",797,128,124,21,"1,858",0,14,"7,510","30,158"
Outside NYC,Greene ,Inactive,971,"1,120",85,22,55,2,266,0,0,"1,040","3,561"
Outside NYC,Greene ,Total,"8,915","12,882",882,150,179,23,"2,124",0,14,"8,550","33,719"
Outside NYC,Hamilton ,Active,878,"2,478",58,5,7,5,218,0,0,566,"4,215"
Outside NYC,Hamilton ,Inactive,76,181,12,0,4,0,26,0,1,75,375
Outside NYC,Hamilton ,Total,954,"2,659",70,5,11,5,244,0,1,641,"4,590"
Outside NYC,Herkimer ,Active,"9,531","17,678",689,118,108,58,"2,443",1,27,"6,640","37,293"
Outside NYC,Herkimer ,Inactive,993,"1,374",62,23,18,3,292,0,7,874,"3,646"
Outside NYC,Herkimer ,Total,"10,524","19,052",751,141,126,61,"2,735",1,34,"7,514","40,939"
Outside NYC,Jefferson ,Active,"15,395","23,218",871,192,142,78,"3,097",7,34,"12,511","55,545"
Outside NYC,Jefferson ,Inactive,"2,424","2,587",126,37,30,7,512,0,8,"3,143","8,874"
Outside NYC,Jefferson ,Total,"17,819","25,805",997,229,172,85,"3,609",7,42,"15,654","64,419"
Outside NYC,Lewis ,Active,"3,956","8,581",291,38,30,30,845,0,3,"2,887","16,661"
Outside NYC,Lewis ,Inactive,420,691,22,6,4,1,113,0,0,412,"1,669"
Outside NYC,Lewis ,Total,"4,376","9,272",313,44,34,31,958,0,3,"3,299","18,330"
Outside NYC,Livingston ,Active,"10,461","17,076",900,123,134,103,"1,936",0,19,"8,753","39,505"
Outside NYC,Livingston ,Inactive,796,640,40,12,20,11,134,0,3,766,"2,422"
Outside NYC,Livingston ,Total,"11,257","17,716",940,135,154,114,"2,070",0,22,"9,519","41,927"
Outside NYC,Madison ,Active,"11,537","16,088",881,207,125,72,"2,614",2,15,"9,836","41,377"
Outside NYC,Madison ,Inactive,671,682,32,25,4,2,145,0,1,607,"2,169"
Outside NYC,Madison ,Total,"12,208","16,770",913,232,129,74,"2,759",2,16,"10,443","43,546"
Outside NYC,Monroe ,Active,"192,299","125,534","7,857","1,564","1,163",942,"20,481",7,288,"110,256","460,391"
Outside NYC,Monroe ,Inactive,"16,156","7,378",451,179,168,76,"1,583",0,46,"9,038","35,075"
Outside NYC,Monroe ,Total,"208,455","132,912","8,308","1,743","1,331","1,018","22,064",7,334,"119,294","495,466"
Outside NYC,Montgomery ,Active,"8,952","9,599",672,105,71,37,"1,566",0,22,"6,445","27,469"
Outside NYC,Montgomery ,Inactive,566,462,51,15,10,5,94,0,4,537,"1,744"
Outside NYC,Montgomery ,Total,"9,518","10,061",723,120,81,42,"1,660",0,26,"6,982","29,213"
Outside NYC,Nassau ,Active,"371,809","297,801","9,526","2,079","1,533",615,"32,981",9,0,"228,520","944,873"
Outside NYC,Nassau ,Inactive,"39,508","30,052",926,238,224,34,"3,476",0,0,"24,663","99,121"
Outside NYC,Nassau ,Total,"411,317","327,853","10,452","2,317","1,757",649,"36,457",9,0,"253,183","1,043,994"
